rank	word	reason
61610	-cöl	affix_fragment
61611	-dal	affix_fragment
61612	-derm	affix_fragment
61613	-dermie	affix_fragment
61614	-dien	affix_fragment
61615	-dorf	affix_fragment
61616	-dorp	affix_fragment
61617	-drom	affix_fragment
61618	-druf	affix_fragment
61619	-druff	affix_fragment
61620	-durstig	affix_fragment
61621	-dürstig	affix_fragment
61622	-e	affix_fragment
61623	-echt	affix_fragment
61624	-eck	affix_fragment
61625	-eder	affix_fragment
61626	-egge	affix_fragment
61627	-egk	affix_fragment
61628	-ei	affix_fragment
61629	-el	affix_fragment
61630	-elchen	affix_fragment
61631	-elchens	affix_fragment
61632	-ell	affix_fragment
61633	-eller	affix_fragment
61634	-ellsten	affix_fragment
61635	-em	affix_fragment
61636	-en	affix_fragment
61637	-end	affix_fragment
61638	-ens	affix_fragment
61639	-ent	affix_fragment
61640	-enz	affix_fragment
61641	-enzen	affix_fragment
61642	-er	affix_fragment
61643	-erchen	affix_fragment
61644	-erchens	affix_fragment
61645	-erei	affix_fragment
61646	-erey	affix_fragment
61647	-erg	affix_fragment
61648	-ergie	affix_fragment
61649	-erich	affix_fragment
61650	-erig	affix_fragment
61651	-erisch	affix_fragment
61652	-erl	affix_fragment
61653	-ern	affix_fragment
61654	-ers	affix_fragment
61655	-ert	affix_fragment
61656	-es	affix_fragment
61657	-ese	affix_fragment
61658	-esk	affix_fragment
61659	-etalia	affix_fragment
61660	-etea	affix_fragment
61661	-etosum	affix_fragment
61662	-ette	affix_fragment
61663	-etten	affix_fragment
61664	-etum	affix_fragment
61665	-eur	affix_fragment
61666	-euse	affix_fragment
61667	-fach	affix_fragment
61668	-farben	affix_fragment
61669	-feld	affix_fragment
61670	-felde	affix_fragment
61671	-fels	affix_fragment
61672	-fertig	affix_fragment
61673	-fizier	affix_fragment
61674	-flach	affix_fragment
61675	-fon	affix_fragment
61676	-fonie	affix_fragment
61677	-ford	affix_fragment
61678	-forst	affix_fragment
61679	-fort	affix_fragment
61680	-frei	affix_fragment
61681	-fritze	affix_fragment
61682	-furt	affix_fragment
61683	-furth	affix_fragment
61684	-fähig	affix_fragment
61685	-fähiger	affix_fragment
61686	-fähigsten	affix_fragment
61687	-förde	affix_fragment
61688	-förmig	affix_fragment
61689	-gam	affix_fragment
61690	-gast	affix_fragment
61691	-gate	affix_fragment
61692	-gates	affix_fragment
61693	-gebunden	affix_fragment
61694	-gemäss	affix_fragment
61695	-gemäß	affix_fragment
61696	-gen	affix_fragment
61697	-gerecht	affix_fragment
61698	-gewaltige	affix_fragment
61699	-gewaltiger	affix_fragment
61700	-gnosie	affix_fragment
61701	-gon	affix_fragment
61702	-gonie	affix_fragment
61703	-graf	affix_fragment
61704	-grafie	affix_fragment
61705	-gramm	affix_fragment
61706	-graph	affix_fragment
61707	-graphie	affix_fragment
61708	-haft	affix_fragment
61709	-hagen	affix_fragment
61710	-hai	affix_fragment
61711	-hain	affix_fragment
61712	-halber	affix_fragment
61713	-haltig	affix_fragment
61714	-hammer	affix_fragment
61715	-hart	affix_fragment
61716	-hausen	affix_fragment
61717	-heide	affix_fragment
61718	-heim	affix_fragment
61719	-heini	affix_fragment
61720	-heit	affix_fragment
61721	-heiten	affix_fragment
61722	-hof	affix_fragment
61723	-holm	affix_fragment
61724	-holt	affix_fragment
61725	-holz	affix_fragment
61726	-horst	affix_fragment
61727	-hoven	affix_fragment
61728	-hungrig	affix_fragment
61729	-husen	affix_fragment
